review_id,business_name,review_date,review_text,human_rating
WLR-0001,Gym Urban,2025-01-02,The service was slow and disorganized but the team apologized sincerely.,5
WLR-0002,Restaurante Mar,2025-01-03,"Mediocre ambiance and long queue, however personnel were kind and professional.",4
WLR-0003,Restaurante Mar,2025-01-04,Not worth the hype but the waiter was very attentive and polite.,5
WLR-0004,Studio Fit,2025-01-05,Long wait at reception but staff stayed polite and kept us informed.,5
WLR-0005,Cafe Sol,2025-01-06,Disorganized check-in process yet the host was very friendly and helpful.,5
WLR-0006,Bar La Plaza,2025-01-07,"Underwhelming first impression because of the delay, but service recovered well.",5
WLR-0007,Bar La Plaza,2025-01-08,Nothing special about the menu display but employees were warm and professional.,5
WLR-0008,Bistro Norte,2025-01-09,"Average experience at best, though the manager resolved our issue quickly.",5
WLR-0009,Taller Express,2025-01-10,"Disappointing wait time, however customer care from reception was excellent.",5
WLR-0010,Bar La Plaza,2025-01-11,"Could be better organized; still, the team handled our complaint with empathy.",5
WLR-0011,Clinica Vida,2025-01-12,Not amazing ambiance but staff made us feel welcome from the start.,4
WLR-0012,Gym Urban,2025-01-13,"Slow service during peak hour, but personnel remained courteous throughout.",4
WLR-0013,Restaurante Mar,2025-01-14,Confusing reservation process yet the staff guided us patiently.,5
WLR-0014,Studio Fit,2025-01-15,"Mediocre overall setup, however attentive service saved the visit.",5
WLR-0015,Restaurante Mar,2025-01-16,Unfriendly reception and messy waiting area.,2
WLR-0016,Spa Luna,2025-01-17,Bad queue management but friendly faces at the counter helped a lot.,5
WLR-0017,Taller Express,2025-01-18,Not the best first visit but team attitude was genuinely positive.,4
WLR-0018,Bistro Norte,2025-01-19,"Long delay for our appointment, still the assistant was very kind.",5
WLR-0019,Bistro Norte,2025-01-20,Unremarkable atmosphere yet professional staff exceeded expectations.,5
WLR-0020,Studio Fit,2025-01-21,"Service felt chaotic at times, but they apologized and fixed everything.",5
WLR-0021,Hotel Mirador,2025-01-22,Visit without surprises. Ambiente normal y trato correcto. Reception noted.,3
WLR-0022,Clinica Vida,2025-01-23,Nothing outstanding except how kindly the staff treated our family.,5
WLR-0023,Spa Luna,2025-01-24,Ambiente agradable y personal atento. La espera fue corta para un sabado. Wait time noted.,5
WLR-0024,Restaurante Mar,2025-01-25,The manager listened to our feedback and offered a complimentary drink. Nice touch. Reception noted.,4
WLR-0025,Clinica Vida,2025-01-26,Ambiente agradable y personal atento. La espera fue corta para un sabado. Tiempo de espera noted.,5
WLR-0026,Bistro Norte,2025-01-27,Regular experience. Wait time was normal for the area. Staff noted.,3
WLR-0027,Clinica Vida,2025-01-28,Warm welcome and helpful recommendations. Felt valued as a returning customer. Tiempo de espera noted.,5
WLR-0028,Cafe Sol,2025-01-29,Excellent customer service. Wait time was reasonable and the space was clean. Ambiente noted.,5
WLR-0029,Bistro Norte,2025-01-30,Outstanding hospitality. Minor delay at check-in but staff kept us informed. Reception noted.,5
WLR-0030,Spa Luna,2025-01-31,Ambiente agradable y personal atento. La espera fue corta para un sabado. Atmosphere noted.,5
WLR-0031,Spa Luna,2025-02-01,The manager listened to our feedback and offered a complimentary drink. Nice touch. Personal noted.,5
WLR-0032,Taller Express,2025-02-02,Clean facilities and polite team. Not perfect but definitely above average. Tiempo de espera noted.,5
WLR-0033,Spa Luna,2025-02-03,Ambiente agradable y personal atento. La espera fue corta para un sabado. Atmosphere noted.,5
WLR-0034,Clinica Vida,2025-02-04,Ambiente agradable y personal atento. La espera fue corta para un sabado. Reservation noted.,5
WLR-0035,Taller Express,2025-02-05,"Service was solid: friendly faces, clear communication, and fair pricing. Reservation noted.",5
WLR-0036,Studio Fit,2025-02-06,Ambiente agradable y personal atento. La espera fue corta para un sabado. Reception noted.,5
WLR-0037,Studio Fit,2025-02-07,Staff were polite; parking was tricky yet they guided us to an alternative spot. Wait time noted.,3
WLR-0038,Bar La Plaza,2025-02-08,Staff went above and beyond to help with our reservation change. Very professional.,5
WLR-0039,Hotel Mirador,2025-02-09,Personal muy amable y servicio rapido. El local estaba limpio y bien organizado. Wait time noted.,5
WLR-0040,Restaurante Mar,2025-02-10,Excellent customer service. Wait time was reasonable and the space was clean. Reception noted.,5
WLR-0041,Restaurante Mar,2025-02-11,Decent experience. Not amazing but nothing to complain about really. Wait time noted.,4
WLR-0042,Taller Express,2025-02-12,Buena atencion al cliente. Nos explicaron todo con paciencia y sin prisas. Personal noted.,5
WLR-0043,Cafe Sol,2025-02-13,Ambiente agradable y personal atento. La espera fue corta para un sabado. Tiempo de espera noted.,5
WLR-0044,Restaurante Mar,2025-02-14,Staff went above and beyond to help with our reservation change. Very professional. Tiempo de espera noted.,5
