incident_id,date,location_id,category,description,status,customer_id,satisfaction_score,reporter_id
BRS-000001,2024-01-14,COL-07,FOOD_QUALITY,Porción servida menor a la estándar del menú,CLOSED,CLI-471507,5,MGR-01
BRS-000002,2024-01-04,COL-01,SUPPLY,"Bajo stock de carbón para parrillas, pedido urgente enviado",DISCARDED,CLI-777568,,MGR-06
BRS-000003,2024-01-08,COL-04,SUPPLY,Proveedor de salsas no entregó el pedido semanal,OPEN,CLI-214576,,MGR-08
BRS-000004,2024-01-06,COL-05,CUSTOMER_COMPLAINT,Queja por ruido excesivo en el área de mesas,CLOSED,,2,MGR-04
BRS-000005,2024-01-15,FLA-03,EQUIPMENT,Lavaplatos industrial con fuga de agua detectada,OPEN,CLI-179046,,MGR-02
BRS-000006,2024-01-18,FLA-04,CUSTOMER_COMPLAINT,Cliente insatisfecho con el tiempo de espera en mesa,CLOSED,,5,MGR-02
BRS-000007,2024-01-08,COL-03,CUSTOMER_COMPLAINT,Reclamación por reserva no encontrada al llegar,CLOSED,CLI-989921,4,MGR-08
BRS-000008,2024-01-29,COL-01,FOOD_QUALITY,Cliente reporta alimento frío al momento de servir,OPEN,CLI-520521,,MGR-07
BRS-000009,2024-01-13,COL-05,CUSTOMER_COMPLAINT,Queja por ruido excesivo en el área de mesas,CLOSED,,2,MGR-05
BRS-000010,2024-01-26,COL-09,SUPPLY,Faltante de bebidas importadas en carta,CLOSED,CLI-865990,5,MGR-08
BRS-000011,2024-01-10,COL-04,SUPPLY,Falta de carne de res para cortes del menú principal,OPEN,,,MGR-01
BRS-000012,2024-01-02,COL-10,CUSTOMER_COMPLAINT,Queja por ruido excesivo en el área de mesas,OPEN,CLI-159942,,MGR-03
BRS-000013,2024-01-17,COL-02,SUPPLY,Retraso en entrega de insumos de limpieza,OPEN,,,MGR-03
BRS-000014,2024-01-03,FLA-01,FOOD_QUALITY,Cliente reporta alimento frío al momento de servir,DISCARDED,,,MGR-07
BRS-000015,2024-01-29,COL-10,SUPPLY,Proveedor de salsas no entregó el pedido semanal,OPEN,,,MGR-01
BRS-000016,2024-01-22,COL-10,STAFF,Empleado no siguió protocolo de uniformidad,CLOSED,CLI-539589,2,MGR-06
BRS-000017,2024-01-22,FLA-02,SUPPLY,Desabasto de envases para pedidos para llevar,OPEN,CLI-314181,,MGR-04
BRS-000018,2024-01-05,FLA-01,EQUIPMENT,Sistema de música del local apagado sin respuesta,DISCARDED,,,MGR-05
BRS-000019,2024-01-30,COL-02,SUPPLY,Falta de carne de res para cortes del menú principal,OPEN,CLI-888387,,MGR-08
BRS-000020,2024-01-04,COL-02,EQUIPMENT,Refrigerador de bebidas no enfría correctamente,OPEN,CLI-690341,,MGR-04
BRS-000021,2024-01-30,COL-06,SUPPLY,Falta de carne de res para cortes del menú principal,OPEN,CLI-238890,,MGR-04
BRS-000022,2024-01-15,FLA-04,FOOD_QUALITY,Producto vencido detectado durante revisión de inventario,CLOSED,CLI-265409,3,MGR-05
BRS-000023,2024-01-21,COL-09,EQUIPMENT,Falla en la parrilla principal de cocina,DISCARDED,CLI-946305,,MGR-05
BRS-000024,2024-01-31,COL-03,EQUIPMENT,Terminal POS con error al procesar pagos con tarjeta,CLOSED,CLI-208618,5,MGR-02
BRS-000025,2024-01-18,COL-03,FOOD_QUALITY,Salsa de la casa con sabor diferente al habitual,CLOSED,CLI-878480,3,MGR-05
BRS-000026,2024-01-11,COL-04,SUPPLY,Faltante de bebidas importadas en carta,CLOSED,CLI-852470,2,MGR-05
BRS-000027,2024-01-29,FLA-04,STAFF,Empleado llegó tarde al turno de apertura,CLOSED,CLI-363319,1,MGR-02
BRS-000028,2024-01-09,COL-01,CUSTOMER_COMPLAINT,Cliente insatisfecho con el tiempo de espera en mesa,OPEN,CLI-969634,,MGR-06
BRS-000029,2024-01-09,COL-03,EQUIPMENT,Sistema de música del local apagado sin respuesta,CLOSED,CLI-768061,4,MGR-08
BRS-000030,2024-01-18,COL-01,FOOD_QUALITY,Carne servida en término incorrecto según pedido,CLOSED,CLI-548462,4,MGR-02
BRS-000031,2024-01-29,COL-03,FOOD_QUALITY,Producto vencido detectado durante revisión de inventario,OPEN,CLI-824586,,MGR-01
BRS-000032,2024-01-18,COL-03,SUPPLY,"Bajo stock de carbón para parrillas, pedido urgente enviado",OPEN,CLI-710805,,MGR-03
